SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,U,Pb,Zr,Sc,V,Ni,Cr,A,La/Y,Nb/Y,Ba/Sc,Nb/Yb,Sr/Y,(La/Yb)/n,Ce/Yb,Zr/Y,La/Sm,Dy/Yb,Sm/Yb,Zr/Sm,Rb/Sr,Nd/Yb,Lu/Hf,Ce/Y,Nd/Y,Th/Yb,Gd/Yb,Ba/V,A/CaO,Th/Y,Ni/Sc,Cr/Sc,Ni/V,Cr/V,Predicted_Crustal_Thickness,Age,Age error,Lat,Lon
65.95,0.48,15.49,4.97,0.11,2.62,5.29,2.08,2.91,0.09,23.1,44.9,4.91,18.1,3.3,0.894,3.36,0.569,3.3,0.713,2.23,0.338,2.07,0.352,224,18.9,88.9,367,1.15,7.65,0.919,16.8,1.46,11.5,20.1,15.7,115,5.54,18.5,4.99,1.222222222,0.404761905,23.37579618,3.695652174,11.85185185,8.004647465,21.69082126,1.063492063,7,1.594202899,1.594202899,6.090909091,0.396875,8.743961353,0.306086957,2.375661376,0.957671958,8.115942029,1.623188406,3.191304348,0.944015444,0.888888889,0.352866242,1.178343949,0.048173913,0.160869565,35.18162372,156.4,1.7,32.40896667,81.53673333
63.92,0.56,16.1,5.59,0.12,3.1,5.65,2.46,2.37,0.11,9.35,22.7,3.2,14,3.07,0.786,3.42,0.695,3.44,0.724,2.27,0.367,2.35,0.336,205,20.4,99.3,256,1.13,8.36,0.932,8.31,0.975,9.87,21.9,16.4,121,6.67,19.2,4.83,0.458333333,0.409803922,15.6097561,3.557446809,10.04901961,2.853936619,9.659574468,1.073529412,3.045602606,1.463829787,1.306382979,7.133550489,0.484390244,5.957446809,0.297345133,1.112745098,0.68627451,3.536170213,1.455319149,2.115702479,0.855855856,0.407352941,0.406707317,1.170731707,0.055123967,0.158677686,30.62178983,155.6,1.6,32.55533333,81.2216
73.35,0.4,13.82,2.66,0.07,0.9,1.78,3.26,3.68,0.09,38.1,70.4,7.93,26.9,4.45,0.982,4.27,0.762,4.53,0.913,2.69,0.455,2.95,0.476,223,26,146,614,2.79,11.1,1.22,21.2,3.85,18.1,74.8,8.01,55.3,2.13,8.25,6.94,1.465384615,0.426923077,76.65418227,3.762711864,8.576923077,9.264106415,23.86440678,2.876923077,8.561797753,1.53559322,1.508474576,16.80898876,0.65470852,9.118644068,0.170609319,2.707692308,1.034615385,7.186440678,1.447457627,11.10307414,3.902857143,0.815384615,0.265917603,1.029962547,0.038517179,0.149186257,43.98072788,141.6,1.4,31.85781667,84.04165
63.68,0.66,15.63,5.78,0.12,2.76,5.89,2.56,2.81,0.12,33.2,64.7,7.57,27.7,5.25,1.11,5.13,0.98,5.56,1.2,3.48,0.537,3.73,0.56,243,33,123,392,1.88,10,1.13,18.4,2.07,20.1,49.9,19.2,146,7.79,22,5.37,1.006060606,0.303030303,20.41666667,2.680965147,7.363636364,6.384543161,17.3458445,1.512121212,6.323809524,1.490616622,1.407506702,9.504761905,0.50617284,7.426273458,0.29787234,1.960606061,0.839393939,4.932975871,1.375335121,2.684931507,0.911304348,0.557575758,0.405729167,1.145833333,0.053356164,0.150684932,40.06044966,135,2,31.85191667,84.00821667
66.5,0.46,15.45,4.34,0.09,2.51,4.76,3.01,2.78,0.1,20.8,39.1,4.41,15.1,2.73,0.712,2.96,0.476,3.31,0.642,1.84,0.305,1.85,0.302,226,17.7,109,386,1.11,6.86,0.655,11.3,1,9.16,23.6,12.1,117,10.4,25.3,5.79,1.175141243,0.387570621,31.90082645,3.708108108,12.76836158,8.064773634,21.13513514,1.333333333,7.619047619,1.789189189,1.475675676,8.644688645,0.482300885,8.162162162,0.272072072,2.209039548,0.853107345,6.108108108,1.6,3.299145299,1.21627409,0.638418079,0.859504132,2.090909091,0.088888889,0.216239316,33.33039094,136.9,1.4,31.78865,83.97138333
57.25,0.69,17.52,7,0.17,4.64,6.29,4.14,2.17,0.13,17.2,36.2,4.49,17.1,3.47,0.999,3.62,0.696,3.72,0.773,2.43,0.319,2.54,0.348,318,21.1,105,278,1.84,5.2,0.488,6.87,0.709,6.86,36.4,18.6,189,21.3,26.9,6.31,0.815165877,0.246445498,14.94623656,2.047244094,15.07109005,4.857304229,14.2519685,1.725118483,4.956772334,1.464566929,1.366141732,10.48991354,0.330188679,6.732283465,0.189130435,1.71563981,0.81042654,2.704724409,1.42519685,1.470899471,1.003273322,0.325592417,1.14516129,1.446236559,0.112698413,0.142328042,29.98536165,137.7,1.6,31.78865,83.97138333
65.19,0.51,15.91,4.74,0.09,2.58,5.47,2.91,2.5,0.1,23.8,44.9,4.97,18.6,3.46,0.858,3.26,0.658,3.53,0.814,2.25,0.404,2.69,0.426,235,22.2,102,379,1.95,6.75,0.855,12.4,1.46,7.55,34.4,14.4,125,8.57,21.4,5.42,1.072072072,0.304054054,26.31944444,2.50929368,10.58558559,6.346368014,16.69144981,1.54954955,6.878612717,1.312267658,1.286245353,9.942196532,0.434042553,6.914498141,0.218461538,2.022522523,0.837837838,4.609665428,1.211895911,3.032,0.990689013,0.558558559,0.595138889,1.486111111,0.06856,0.1712,32.79967915,135,2,31.72628333,83.95558333
69.51,0.38,15.13,3.2,0.07,1.81,3.34,3.27,3.2,0.08,33.5,56.4,5.55,17.3,2.49,0.606,2.09,0.455,2.33,0.473,1.4,0.248,1.51,0.231,204,14.1,124,404,0.833,5.91,0.678,14.9,1.23,7.66,21.1,8.02,76.3,5.55,14.8,6.47,2.375886525,0.419148936,50.37406484,3.913907285,14.46808511,15.91359991,37.35099338,1.496453901,13.45381526,1.543046358,1.649006623,8.473895582,0.607843137,11.45695364,0.277310924,4,1.226950355,9.867549669,1.38410596,5.294888598,1.936170213,1.056737589,0.69201995,1.845386534,0.072739187,0.193971166,38.36455004,130.4,1.3,31.68546667,83.93695
77.49,0.2,13.04,1.12,0.04,0.19,0.61,2.61,4.66,0.04,42.7,79.3,8.75,30.5,5.03,0.809,4.79,0.912,5.46,1.02,3.28,0.587,3.86,0.604,78.7,30,169,661,4.09,11.3,1.18,21.8,2.76,25.3,98.3,4.46,17.2,0.722,5.89,7.27,1.423333333,0.376666667,148.206278,2.92746114,2.623333333,7.934894296,20.54404145,3.276666667,8.489065606,1.414507772,1.303108808,19.54274354,2.147395172,7.901554404,0.147677262,2.643333333,1.016666667,5.647668394,1.240932642,38.43023256,11.83606557,0.726666667,0.161883408,1.320627803,0.041976744,0.34244186,39.49811231,135,2,32.22028333,81.2416
77.53,0.14,12.64,0.94,0.1,0.11,0.13,3.51,4.87,0.03,36.5,69.3,7.7,26.7,4.92,0.787,3.86,0.71,4.1,0.777,2.34,0.398,2.45,0.358,54.9,21.7,202,662,2.84,13.1,1.03,18.4,1.96,21.4,68.7,4.02,7.59,1.63,5.34,8.38,1.68202765,0.603686636,164.6766169,5.346938776,2.529953917,10.68629984,28.28571429,3.165898618,7.418699187,1.673469388,2.008163265,13.96341463,3.679417122,10.89795918,0.126056338,3.193548387,1.230414747,7.510204082,1.575510204,87.22002635,64.23076923,0.847926267,0.405472637,1.328358209,0.214756258,0.703557312,43.40033757,135,2,32.22005,81.24146667
