SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,U,Pb,Zr,Sc,V,Ni,Cr,A,La/Y,Nb/Y,Ba/Sc,Nb/Yb,Sr/Y,(La/Yb)/n,Ce/Yb,Zr/Y,La/Sm,Dy/Yb,Sm/Yb,Zr/Sm,Rb/Sr,Nd/Yb,Lu/Hf,Ce/Y,Nd/Y,Th/Yb,Gd/Yb,Ba/V,A/CaO,Th/Y,Ni/Sc,Cr/Sc,Ni/V,Cr/V,Predicted_Crustal_Thickness,Age,Age error,Lat,Lon,CITATION
68.10466977,0.570851895,16.0144344,3.128472258,0.050968919,1.794105954,2.609608661,4.077513532,3.414917583,0.234457028,31.83,65.05,8.13,32.74,5.5,1.33,3.44,0.41,2.3,0.43,1.2,0.16,0.93,0.15,1022,11.81,103.3,1110,5.12,6.83,0.56,8.14,2.21,31.28,197.5,7.15,89.5,16.35,24.1,7.492431116,2.695173582,0.578323455,155.2447552,7.344086022,86.53683319,23.25044236,69.94623656,16.723116,5.787272727,2.47311828,5.913978495,35.90909091,0.101076321,35.20430108,0.029296875,5.50804403,2.772226926,8.752688172,3.698924731,12.40223464,2.87109375,0.689246401,2.286713287,3.370629371,0.182681564,0.269273743,69.24512724,17,1,30.5,83,[24917] LI YA-LIN(2017) [GeoReM [10649] ]
66.95890299,0.623301249,16.20583246,3.347434247,0.051090266,1.972084279,3.228904829,4.168965729,3.188032616,0.255451331,30.26,67.55,7.79,31.49,5.78,1.49,3.48,0.38,2.15,0.43,1.15,0.17,0.99,0.16,1009,11.03,89.21,1078,5.38,6.69,0.54,8.56,2.46,29.99,175,7.05,86.84,17.07,24.05,7.356998345,2.743427017,0.606527652,152.9078014,6.757575758,91.47778785,20.76401142,68.23232323,15.86582049,5.235294118,2.171717172,5.838383838,30.27681661,0.088414272,31.80808081,0.029739777,6.124206709,2.85494107,8.646464646,3.515151515,12.41363427,2.278481013,0.776065277,2.421276596,3.411347518,0.196568402,0.276946108,68.0316314,17,1,30.5,83,[24917] LI YA-LIN(2017) [GeoReM [10649] ]
68.88637268,0.540645306,15.43389336,2.928665422,0.051004274,1.723944467,2.764431659,3.937529965,3.509094062,0.224418806,28.7,59.42,7.49,28.62,4.91,1.29,3.22,0.35,2.22,0.42,1.05,0.16,0.91,0.14,829.9,9.85,94.15,945.1,4.49,6.12,0.54,8.28,2.11,25.54,153.2,6.31,75.42,16.33,29.58,7.446624027,2.913705584,0.621319797,149.77813,6.725274725,84.25380711,21.42486206,65.2967033,15.55329949,5.845213849,2.43956044,5.395604396,31.20162933,0.113447403,31.45054945,0.031180401,6.03248731,2.905583756,9.098901099,3.538461538,12.53115884,2.693726937,0.840609137,2.587955626,4.687797147,0.216520817,0.39220366,67.25591484,17,1,30.5,83,[24917] LI YA-LIN(2017) [GeoReM [10649] ]
68.46156211,0.614924211,16.50046632,3.292919148,0.051243684,1.906265053,1.147858526,4.324966948,3.443575579,0.256218421,25.82,53.85,6.75,27.65,4.4,1.11,2.98,0.33,2.11,0.39,1.07,0.14,0.9,0.14,727.5,9.12,107.6,900.9,4.63,6.5,0.51,6.89,2.1,28.49,178.4,6.28,87.7,17.84,25.97,7.768542527,2.831140351,0.712719298,143.455414,7.222222222,79.76973684,19.48907642,59.83333333,19.56140351,5.868181818,2.344444444,4.888888889,40.54545455,0.14790378,30.72222222,0.030237581,5.904605263,3.031798246,7.655555556,3.311111111,10.27251995,6.767857143,0.755482456,2.840764331,4.135350318,0.203420753,0.296123147,68.45366915,17,1,30.5,83,[24917] LI YA-LIN(2017) [GeoReM [10649] ]
68.28073714,0.607077078,16.40137055,3.268955725,0.072026094,1.934415097,1.975572865,4.249539547,2.953069855,0.25723605,34.57,65.73,8.58,33.08,5.21,1.32,3.59,0.43,2.28,0.45,1.15,0.16,1.04,0.15,877.2,10.97,88.74,1006,5.1,7.43,0.65,10.86,2.75,26.72,176.9,6.79,78.64,21.13,34.67,7.202609402,3.151321787,0.677301732,148.1590574,7.144230769,79.96353692,22.58102077,63.20192308,16.12579763,6.635316699,2.192307692,5.009615385,33.95393474,0.101162791,31.80769231,0.029411765,5.991795807,3.015496809,10.44230769,3.451923077,12.79247202,3.645833333,0.989972653,3.111929308,5.106038292,0.268692777,0.440869786,63.57290026,17,1,30.5,83,[24917] LI YA-LIN(2017) [GeoReM [10649] ]
75.3070459,0.23230446,13.03935036,1.290804783,0.040400776,0.494909502,1.242323853,3.494667098,4.777391726,0.080801551,36.09,59.26,5.65,17.28,2.73,0.51,2.05,0.29,1.65,0.3,0.92,0.13,1.04,0.18,171.88,9.15,414.32,392.31,4.12,16.5,1.43,42.71,13.5,36.07,127.48,3.92,20.33,2.68,2.17,8.272058824,3.944262295,1.803278689,100.0790816,15.86538462,18.78469945,23.57388023,56.98076923,13.93224044,13.21978022,1.586538462,2.625,46.6959707,2.410518967,16.61538462,0.04368932,6.476502732,1.88852459,41.06730769,1.971153846,19.29709788,6.658536585,4.667759563,0.683673469,0.553571429,0.131824889,0.10673881,60.62467536,43,1,30.83,82.1,[26466] LEI MING (2022)
73.21053859,0.375074762,13.735846,2.034527152,0.050685779,0.699463744,1.601670603,3.689924681,4.470485671,0.131783024,54.44,94.33,9.44,30.17,4.54,0.82,3.57,0.52,2.77,0.52,1.62,0.24,1.73,0.27,197.63,16.09,392.04,436.2,5.55,27.54,2.23,50.71,10.21,36.91,182.66,5.62,31.06,3.63,3.19,8.160410352,3.383467993,1.711622126,77.61565836,15.91907514,12.28278434,21.37713714,54.52601156,11.35239279,11.99118943,1.601156069,2.624277457,40.23348018,1.983706927,17.43930636,0.048648649,5.862647607,1.875077688,29.31213873,2.063583815,14.04378622,5.094936709,3.151646986,0.645907473,0.567615658,0.116870573,0.102704443,56.40295528,43,1,30.83,82.1,[26466] LEI MING (2022)
74.89984499,0.281843255,13.23656715,1.576309061,0.040263322,0.523423188,1.087109697,3.724357297,4.529623739,0.100658305,47.37,74.53,6.92,21.8,3.21,0.57,2.49,0.34,1.9,0.37,1.11,0.17,1.2,0.2,157.35,11.04,402.24,259.75,4.71,19.22,1.68,50.02,9,36.1,151.34,4.26,23.16,3.5,1.93,8.253981036,4.29076087,1.740942029,60.9741784,16.01666667,14.25271739,26.81635021,62.10833333,13.70833333,14.75700935,1.583333333,2.675,47.14641745,2.556339371,18.16666667,0.042462845,6.750905797,1.974637681,41.68333333,2.075,11.21545769,7.592592593,4.530797101,0.821596244,0.453051643,0.151122625,0.083333333,60.66376339,43,1,30.83,82.1,[26466] LEI MING (2022)
75.55394481,0.221477253,13.2685009,1.241279333,0.050335739,0.463088802,0.926177605,3.523501757,4.671156615,0.080537183,34.62,59.91,5.45,17.28,2.85,0.43,2.02,0.31,1.6,0.31,0.91,0.14,1.07,0.18,145.29,9.32,423.5,284.75,3.85,19.05,1.72,37.56,9.31,35.42,120.24,4.37,16.18,3.72,1.94,8.194658371,3.714592275,2.043991416,65.16018307,17.80373832,15.58905579,21.97965219,55.99065421,12.90128755,12.14736842,1.495327103,2.663551402,42.18947368,2.914859935,16.14953271,0.046753247,6.428111588,1.854077253,35.10280374,1.887850467,17.59888752,8.847826087,4.030042918,0.851258581,0.443935927,0.229913473,0.119901112,59.31057774,43,1,30.83,82.1,[26466] LEI MING (2022)
74.37532798,0.333023857,13.22003794,1.889153514,0.05045816,0.645864449,1.463286643,3.723812215,4.177935656,0.121099584,50.08,84.64,8.03,25.52,3.89,0.67,2.81,0.43,2.24,0.43,1.28,0.21,1.43,0.22,164.87,12.92,381.57,254.15,4.51,24.07,2,44.53,17.19,31.19,141.57,4.91,29.26,2.97,2.62,7.901747871,3.876160991,1.863003096,51.76171079,16.83216783,12.76083591,23.79062288,59.18881119,10.95743034,12.87403599,1.566433566,2.72027972,36.3933162,2.314368897,17.84615385,0.048780488,6.551083591,1.975232198,31.13986014,1.965034965,8.685919344,5.4,3.446594427,0.604887984,0.533604888,0.101503759,0.089542037,57.79552637,43,1,30.83,82.1,[26466] LEI MING (2022)
