SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,U,Pb,Zr,Sc,V,Ni,Cr,A,La/Y,Nb/Y,Ba/Sc,Nb/Yb,Sr/Y,(La/Yb)/n,Ce/Yb,Zr/Y,La/Sm,Dy/Yb,Sm/Yb,Zr/Sm,Rb/Sr,Nd/Yb,Lu/Hf,Ce/Y,Nd/Y,Th/Yb,Gd/Yb,Ba/V,A/CaO,Th/Y,Ni/Sc,Cr/Sc,Ni/V,Cr/V
71,0.3,14.74,2.18,0.02,0.95,1.88,3.55,5.23,0.15,47.1,90.8,10.5,35.4,5.05,1.05,3.99,0.491,2.36,0.495,1.22,0.189,1.22,0.205,417,10.3,299,741,7.1,27.8,2.81,83.3,9.09,32.7,208,4.21,31.3,6.26,135,8.78,4.572815534,2.699029126,176.0095012,22.78688525,40.48543689,27.69246732,74.42622951,20.19417476,9.326732673,1.93442623,4.139344262,41.18811881,0.717026379,29.01639344,0.028873239,8.815533981,3.436893204,68.27868852,3.270491803,23.67412141,4.679144385,8.087378641,1.486935867,32.06650831,0.2,4.313099042
71.48,0.28,14.56,1.85,0.03,0.83,1.75,3.49,5.58,0.14,82.8,140,14,44.4,6.35,1.18,4.54,0.57,2.86,0.528,1.53,0.271,1.72,0.26,428,11.3,283,781,2.12,36.4,3.61,97.4,8.3,34.4,58.1,3.92,47.2,8,15.7,9.08,7.327433628,3.221238938,199.2346939,21.1627907,37.87610619,34.53046806,81.39534884,5.14159292,13.03937008,1.662790698,3.691860465,9.149606299,0.661214953,25.81395349,0.122641509,12.38938053,3.92920354,56.62790698,2.639534884,16.54661017,5.197674419,8.619469027,2.040816327,4.005102041,0.169491525,0.332627119
64.83,0.65,15.89,4.97,0.09,2.05,4.33,3.63,3.38,0.17,25.9,53.2,6.63,26.1,5.01,1.05,4.95,0.791,4.58,0.932,2.69,0.415,2.57,0.41,365,10.7,115,4157,6.94,7.09,0.6,12.8,3.57,17.7,255,13.1,101,4.97,7.8,7.01,2.420560748,0.662616822,317.3282443,2.758754864,34.11214953,7.228816759,20.70038911,23.8317757,5.169660679,1.782101167,1.949416342,50.89820359,0.315068493,10.15564202,0.05907781,4.971962617,2.439252336,4.980544747,1.926070039,41.15841584,1.619158879,1.196261682,0.379389313,0.595419847,0.049207921,0.077227723
64.95,0.64,15.96,5.14,0.09,1.86,4.24,3.43,3.5,0.18,26.9,53.1,6.62,25.7,5.12,1.03,4.67,0.755,4.5,0.91,2.55,0.388,2.47,0.385,368,18.9,145,460,6.37,7.67,0.65,17.8,3.97,17.6,220,14.2,112,4.45,123,6.93,1.423280423,0.405820106,32.3943662,3.105263158,19.47089947,7.811886093,21.49797571,11.64021164,5.25390625,1.821862348,2.072874494,42.96875,0.394021739,10.4048583,0.06043956,2.80952381,1.35978836,7.206477733,1.890688259,4.107142857,1.636579572,0.941798942,0.313380282,8.661971831,0.039732143,1.098214286
64.76,0.6,16.09,4.23,0.07,2.52,4.23,4.54,2.74,0.23,24.2,45,5.3,19.9,3.38,1.03,2.75,0.364,1.96,0.361,0.934,0.136,2.18,0.136,741,19.9,95.4,546,3.69,5.07,0.35,6.53,2.02,9.5,141,10.7,97.9,39.2,166,7.28,1.216080402,0.254773869,51.02803738,2.325688073,37.2361809,7.962683389,20.64220183,7.085427136,7.159763314,0.899082569,1.550458716,41.71597633,0.128744939,9.128440367,0.036856369,2.261306533,1,2.995412844,1.26146789,5.57711951,1.718377088,0.328140704,3.663551402,15.51401869,0.40040858,1.695607763
62.51,0.72,16.73,5.81,0.17,3.14,6.2,2.95,1.51,0.25,22.1,42.8,5.4,20.6,3.7,1.05,3.23,0.451,2.33,0.441,1.21,0.184,1.14,0.174,637,12.4,79.69,530,3.14,5.55,0.39,5.07,1.56,14.5,112,14.9,149,34.8,194,4.47,1.782258065,0.447580645,35.5704698,4.868421053,51.37096774,13.90554445,37.54385965,9.032258065,5.972972973,2.043859649,3.245614035,30.27027027,0.125102041,18.07017544,0.055414013,3.451612903,1.661290323,4.447368421,2.833333333,3.55704698,0.720325203,0.408870968,2.33557047,13.02013423,0.233557047,1.302013423
66.04,0.6,15.69,4.34,0.12,2.69,5.37,3.41,1.46,0.28,24.9,47.1,5.48,20.8,3.42,1.05,2.98,0.388,1.98,0.37,0.955,0.137,0.845,0.138,887,10.3,82.68,494,3.52,5.49,0.39,6.28,2.42,16.2,122,11.7,109,38.4,236.8,4.87,2.417475728,0.533009709,42.22222222,6.49704142,86.11650485,21.13699348,55.73964497,11.84466019,7.280701754,2.343195266,4.047337278,35.67251462,0.093213078,24.61538462,0.039204545,4.572815534,2.019417476,7.431952663,3.526627219,4.532110092,0.906367041,0.609708738,3.282051282,20.23931624,0.352293578,2.172477064
77.31,0.22,13.65,0.56,0.04,0.5,2.19,4.04,1.39,0.11,24.3,45.3,4.77,16.9,2.59,0.671,2.18,0.29,1.43,0.254,0.776,0.126,0.795,0.122,528,8.04,61.6,295,1.69,7,0.55,17.2,5.58,14.6,58.8,3.28,27.8,2.44,2.74,5.43,3.02238806,0.870646766,89.93902439,8.805031447,65.67164179,21.92500597,56.98113208,7.313432836,9.382239382,1.798742138,3.257861635,22.7027027,0.116666667,21.25786164,0.072189349,5.634328358,2.10199005,21.63522013,2.742138365,10.61151079,2.481481481,2.139303483,0.743902439,0.835365854,0.087769784,0.098561151
72.39,0.24,15.1,0.69,0.03,0.63,3.07,3.61,4.11,0.12,23.6,43.8,4.68,16.5,2.47,0.711,1.94,0.261,1.33,0.255,0.714,0.118,0.754,0.137,613,7.65,127,1156,1.88,6.89,0.55,16.9,3.22,38.8,69.7,3.52,32,3.42,3.34,7.72,3.08496732,0.900653595,328.4090909,9.137931034,80.13071895,22.45128653,58.09018568,9.111111111,9.55465587,1.763925729,3.275862069,28.21862348,0.207177814,21.88328912,0.07287234,5.725490196,2.156862745,22.4137931,2.572944297,36.125,2.516556291,2.209150327,0.971590909,0.948863636,0.106875,0.104375
73.76,0.25,15.3,0.68,0.04,0.65,3.66,4.76,0.79,0.12,29,53.3,5.6,19.6,2.81,0.721,2.25,0.3,1.49,0.272,0.791,0.135,0.801,0.131,812,8.26,33,271,1.91,7.59,0.61,20.2,4,28.3,68.1,3.45,29,4.17,3.63,5.54,3.510895884,0.918886199,78.55072464,9.475655431,98.30508475,25.96964765,66.54182272,8.244552058,10.3202847,1.860174782,3.508114856,24.23487544,0.040640394,24.46941323,0.068586387,6.452784504,2.372881356,25.2184769,2.808988764,9.344827586,1.516574586,2.445520581,1.208695652,1.052173913,0.143793103,0.125172414
