SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,U,Pb,Zr,Sc,V,Ni,Cr,A,La/Y,Nb/Y,Ba/Sc,Nb/Yb,Sr/Y,(La/Yb)/n,Ce/Yb,Zr/Y,La/Sm,Dy/Yb,Sm/Yb,Zr/Sm,Rb/Sr,Nd/Yb,Lu/Hf,Ce/Y,Nd/Y,Th/Yb,Gd/Yb,Ba/V,A/CaO,Th/Y,Ni/Sc,Cr/Sc,Ni/V,Cr/V
68.87,0.52,14.82,2.99,0.07,1.71,3.04,3.59,4.2,0.19,54.7,88.7,9.72,31.6,4.81,0.92,4.26,0.44,2.51,0.52,1.55,0.22,1.47,0.23,354,12.3,240,424,5.84,14.5,1.79,35.3,4.01,24.3,184,6.42,56.4,13,25.9,7.78,4.447154472,1.178861789,66.04361371,9.863945578,28.7804878,26.69135165,60.34013605,14.95934959,11.37214137,1.707482993,3.272108844,38.25363825,0.677966102,21.49659864,0.039383562,7.211382114,2.569105691,24.01360544,2.897959184,7.517730496,2.56,2.869918699,2.024922118,4.034267913,0.230496454,0.459219858
67.22,0.72,14.34,4.09,0.07,2.48,3.7,3.23,3.88,0.27,65.3,124,13.8,48.3,7.61,1.3,5.93,0.62,3.91,0.77,2.15,0.31,2.06,0.33,374,19.2,232,391,7.73,20.4,2.66,46.3,4.48,22.5,245,9.42,88.2,22.4,39.6,7.1,3.401041667,1.0625,41.507431,9.902912621,19.47916667,22.73770022,60.19417476,12.76041667,8.580814717,1.898058252,3.694174757,32.19448095,0.620320856,23.44660194,0.042690815,6.458333333,2.515625,22.47572816,2.878640777,4.433106576,1.917808219,2.411458333,2.377919321,4.203821656,0.253968254,0.448979592
66.72,0.69,14.73,3.84,0.07,2.55,3.86,3.3,3.99,0.25,63.6,131,13.6,51.8,8.04,1.39,4.86,0.59,3.52,0.77,2.08,0.32,1.96,0.31,573,20.3,318,523,6.7,20.7,2.35,59.7,18.3,25.6,239,9.61,113,30.1,62.9,7.28,3.133004926,1.019704433,54.42247659,10.56122449,28.22660099,23.27563937,66.83673469,11.77339901,7.910447761,1.795918367,4.102040816,29.72636816,0.554973822,26.42857143,0.046268657,6.45320197,2.551724138,30.45918367,2.479591837,4.628318584,1.889473684,2.9408867,3.132154006,6.545265349,0.266371681,0.556637168
67.77,0.64,14.6,3.35,0.07,2.18,3.32,3.2,4.63,0.24,55.3,120,12.3,44.6,7.08,1.27,4.39,0.52,3.22,0.66,1.84,0.29,1.87,0.3,489,17.7,364,605,7.41,19.4,2.32,59.5,11.6,30.6,273,7.19,92,27,46.9,7.83,3.124293785,1.096045198,84.14464534,10.37433155,27.62711864,21.21212121,64.17112299,15.42372881,7.810734463,1.721925134,3.786096257,38.55932203,0.744376278,23.85026738,0.04048583,6.779661017,2.519774011,31.81818182,2.347593583,6.576086957,2.356707317,3.361581921,3.755215577,6.52294854,0.293478261,0.509782609
66.9,0.73,14.55,3.87,0.07,2.49,3.93,3.25,3.95,0.28,66.1,143,15.1,55,8.71,1.46,5.24,0.64,3.86,0.82,2.17,0.33,2.18,0.32,575,22.6,314,495,7.53,23.6,2.54,60.4,9.9,29.8,313,9.64,108,28.3,55.2,7.2,2.924778761,1.044247788,51.34854772,10.82568807,25.44247788,21.74931289,65.59633028,13.84955752,7.588978186,1.770642202,3.995412844,35.93570608,0.546086957,25.2293578,0.04249668,6.327433628,2.433628319,27.70642202,2.403669725,4.583333333,1.833333333,2.672566372,2.935684647,5.726141079,0.262037037,0.511111111
65.98,0.62,15.5,3.48,0.06,2.14,3.09,2.98,5.91,0.23,54.9,113,11.9,44.9,7.05,1.32,4.19,0.5,2.98,0.68,1.8,0.27,1.75,0.27,570,18.1,394,1018,6.93,19.3,2.2,56.4,8.56,38.9,272,8.11,101,26.6,43.6,8.9,3.033149171,1.066298343,125.5240444,11.02857143,31.49171271,22.50271248,64.57142857,15.02762431,7.787234043,1.702857143,4.028571429,38.58156028,0.69122807,25.65714286,0.038961039,6.243093923,2.480662983,32.22857143,2.394285714,10.07920792,2.875409836,3.116022099,3.279901356,5.376078915,0.263366337,0.431683168
65.75,0.64,15.63,3.74,0.07,2.1,3.66,3.34,4.82,0.24,61.2,125,12.8,44,6.47,1.29,4.17,0.49,3.05,0.69,1.85,0.29,1.92,0.31,485,17.8,323,689,7.21,18.3,1.97,55.7,8.36,43.2,261,9.07,108,19.8,30,8.16,3.438202247,1.028089888,75.96471885,9.53125,27.24719101,22.86392405,65.10416667,14.66292135,9.459041731,1.588541667,3.369791667,40.34003091,0.665979381,22.91666667,0.042995839,7.02247191,2.471910112,29.01041667,2.171875,6.37962963,2.227146814,3.129213483,2.183020948,3.307607497,0.183333333,0.277777778
77.29,0.15,12.53,0.74,0.03,0.13,0.53,3.53,5.03,0.03,33.6,50.2,4.61,11.9,1.51,0.12,1.54,0.19,1.32,0.34,1.26,0.24,2.05,0.38,23.6,9.38,462,34.9,6.27,47,6.65,23.2,27.5,35.2,117,3.43,4.7,0.14,0.52,8.56,3.582089552,5.010660981,10.17492711,22.92682927,2.515991471,11.75671504,24.48780488,12.47334755,22.25165563,0.643902439,0.736585366,77.48344371,19.57627119,5.804878049,0.060606061,5.351812367,1.268656716,11.31707317,0.751219512,7.425531915,16.01886792,2.473347548,0.040816327,0.151603499,0.029787234,0.110638298
75.27,0.27,13.05,1.46,0.05,0.41,1.17,3.34,4.89,0.07,61.1,87.9,8.68,25.7,3.48,0.5,3.33,0.38,2.57,0.52,1.73,0.28,1.87,0.33,110,13,339,233,4.92,24.7,3.44,41.8,9.77,31.5,133,3.56,18.7,1.07,1.65,8.23,4.7,1.9,65.4494382,13.20855615,8.461538462,23.43690065,47.00534759,10.23076923,17.55747126,1.374331551,1.860962567,38.2183908,3.081818182,13.74331551,0.067073171,6.761538462,1.976923077,22.35294118,1.780748663,12.45989305,7.025862069,3.215384615,0.300561798,0.463483146,0.057219251,0.088235294
69.33,0.38,15.61,1.94,0.04,0.8,1.57,2.97,7.25,0.11,58.6,96.5,10,32.1,4.91,0.9,4.41,0.45,2.91,0.58,1.74,0.26,1.67,0.24,277,13.5,353,918,4.67,14.5,2.12,33.6,4.03,38.3,144,4.57,32.4,3.76,7.7,10.22,4.340740741,1.074074074,200.8752735,8.682634731,20.51851852,25.16991334,57.78443114,10.66666667,11.93482688,1.74251497,2.94011976,29.32790224,1.274368231,19.22155689,0.051391863,7.148148148,2.377777778,20.11976048,2.640718563,28.33333333,6.522580645,2.488888889,0.822757112,1.684901532,0.116049383,0.237654321
