SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,U,Pb,Zr,Sc,V,Cr,Co,Ni,A,Sr/Y,(La/Yb)/n,Ce/Yb,Zr/Y,La/Sm,Dy/Yb,Sm/Yb,Zr/Sm,Rb/Sr,Nd/Yb,Lu/Hf,Ce/Y,Nd/Y,Th/Yb,Gd/Yb,Ba/V,A/CaO,Th/Y,Ni/Sc,Cr/Sc,Ni/V,Cr/V,Crustal_Thickness
52.09904218,2.44548604,14.64234767,12.28856735,0.254738129,4.503770124,8.039535358,3.668229061,0.866109639,1.192174445,18.5,46,6.67,32.7,7.7,2.51,9.25,1.27,6.88,1.44,4.36,0.57,4.01,0.5,393.6,37.8,17.6,291,2.8,4.3,0.3,2.4,0.8,1.9,102.3,37,224,48,20.6,9.2,4.5343387,10.41269841,3.117546733,11.4713217,2.706349206,2.402597403,1.715710723,1.920199501,13.28571429,0.044715447,8.154613466,0.178571429,1.216931217,0.865079365,0.598503741,2.306733167,1.299107143,0.56400507,0.063492063,0.248648649,1.297297297,0.041071429,0.214285714,35.64287016
52.04536249,1.063183475,17.527339,9.062373431,0.172134467,6.915755367,8.76873228,3.209801539,0.891049008,0.344268935,15.9,36.1,4.98,24.8,4.9,1.45,4.92,0.63,3.84,0.84,2.59,0.28,2.23,0.28,567.7,22.9,18.1,320,3.2,5.7,0.2,1.7,0.4,1,129.5,25,221,198,38,81.5,4.100850547,24.79039301,4.818122946,16.18834081,5.655021834,3.244897959,1.721973094,2.197309417,26.42857143,0.031883037,11.12107623,0.0875,1.576419214,1.082969432,0.762331839,2.206278027,1.447963801,0.467667436,0.074235808,3.26,7.92,0.368778281,0.895927602,37.09311535
50.94204383,1.177554782,17.07966414,9.328281794,0.163833709,7.751382347,9.143968872,3.000204792,1.126356748,0.28670899,14.4,32.9,4.1,18.3,3.89,1.22,4.07,0.64,3.51,0.74,2.09,0.3,2.03,0.3,527,19.1,21.3,292,2.8,5.4,0.4,2.3,0.7,1.4,98.3,27,215,233,34.7,97.5,4.12656154,27.59162304,4.793492705,16.20689655,5.146596859,3.701799486,1.729064039,1.916256158,25.26992288,0.040417457,9.014778325,0.107142857,1.722513089,0.958115183,1.133004926,2.004926108,1.358139535,0.451287794,0.120418848,3.611111111,8.62962963,0.453488372,1.08372093,36.49050768
51.48007784,1.024275325,17.88384718,9.464304005,0.174126805,6.790945406,9.085322135,3.103554235,0.768206494,0.225340572,10.4,23.6,3.07,12.9,3.48,1.1,3.28,0.52,3.14,0.66,2.07,0.28,1.77,0.27,485.9,16.7,10.7,244,2,2.4,0.1,2.1,0.6,1.3,65.1,26,204,144,31.3,73.8,3.871760729,29.09580838,3.970504472,13.33333333,3.898203593,2.988505747,1.774011299,1.966101695,18.70689655,0.022020992,7.288135593,0.135,1.413173653,0.77245509,1.186440678,1.853107345,1.196078431,0.426155581,0.125748503,2.838461538,5.538461538,0.361764706,0.705882353,36.74176702
52.78230738,1.05992662,17.59070526,8.887077049,0.163065634,6.339176519,8.520179372,3.251121076,1.05992662,0.346514472,17.2,40.2,4.9,20.2,4.55,1.4,4.18,0.66,3.88,0.81,2.09,0.32,2.18,0.33,515.4,19.3,18.3,295,3.2,5.4,0.3,1.9,0.6,0.9,125.1,25,196,130,28,69.4,4.311047697,26.70466321,5.33160013,18.44036697,6.481865285,3.78021978,1.779816514,2.087155963,27.49450549,0.035506403,9.266055046,0.103125,2.082901554,1.046632124,0.871559633,1.917431193,1.505102041,0.505980861,0.098445596,2.776,5.2,0.354081633,0.663265306,37.2180111
61.51786192,0.524070908,17.47574911,6.211464119,0.110861154,2.821920272,6.268694317,3.366147752,1.562134436,0.141096014,12.58866667,23.22566667,2.951333333,12.799,2.686333333,0.737666667,2.337333333,0.343333333,2.086,0.400666667,1.174,0.185,1.257,0.193,756,11.76866667,30.59666667,728.6403333,2.096333333,2.399666667,0.158,4.450666667,1.986666667,8.536333333,73.62033333,16.30566667,183.1503333,7.324666667,17.22566667,10.138,4.928282188,64.23837306,6.767528184,18.47706179,6.255622272,4.686189355,1.659506762,2.137098912,27.40550937,0.040471781,10.18217979,0.092065511,1.973517249,1.087548858,3.540705383,1.859453726,3.978372958,0.786173633,0.378179346,0.621747041,0.449209886,0.055353435,0.039992647,48.9807088
61.51363322,0.523605979,17.50052292,6.244321664,0.110762803,2.829486157,6.222855677,3.343022791,1.560748592,0.151040186,12.29766667,23.05633333,2.896666667,12.23533333,2.795333333,0.754666667,2.418333333,0.296333333,2.030333333,0.395666667,1.125666667,0.17,1.098666667,0.171333333,762,11.97366667,27.933,723.7923333,1.955666667,2.316666667,0.140333333,4.193666667,1.866,8.198666667,73.99233333,18.18133333,198.0403333,7.315666667,17.54333333,9.24,4.903771383,63.63965367,7.563840903,20.98574028,6.17958854,4.399356071,1.847997572,2.544296115,26.46994992,0.03665748,11.13652912,0.087608658,1.925586703,1.021853511,3.81705097,2.201152912,3.654772344,0.78802589,0.350240806,0.508213552,0.402372397,0.046657162,0.036940287,48.97347944
60.6249042,0.573927842,17.47962692,6.771966784,0.120826914,3.201913226,6.373619724,3.161637588,1.540543156,0.151033643,11.91433333,22.982,2.742666667,11.62533333,2.646666667,0.803,2.271666667,0.289,2.113666667,0.403333333,1.136666667,0.164333333,1.093666667,0.155333333,768,10.95433333,25.43,751.1163333,2.101333333,2.275333333,0.149666667,4.897333333,1.976333333,9.089666667,69.30366667,20.84366667,176.96,12.22133333,20.52433333,14.53966667,4.702180744,70.10924142,7.361569,21.01371532,6.326598304,4.501637278,1.932642487,2.419993904,26.18526448,0.033111979,10.62968607,0.07392132,2.097982534,1.061254298,4.477903077,2.077110637,4.244554325,0.737756714,0.447068131,0.697558011,0.586333179,0.082163577,0.069062688,49.02176946
62.31710315,0.503369169,17.47697756,5.970639189,0.110741217,2.637654447,5.85921713,3.382640817,1.600713958,0.140943367,11.797,22.79966667,2.806333333,11.91933333,2.573666667,0.761333333,2.364333333,0.313,1.946333333,0.394333333,1.045666667,0.194666667,1.149,0.174333333,721,10.85433333,27.36966667,746.172,2.175333333,2.294,0.148333333,4.192666667,1.923,8.752,73.32266667,17.80333333,167.679,6.892333333,16.675,8.197,4.983354775,66.4250837,6.938045878,19.84305193,6.755151555,4.583732677,1.693936756,2.23991877,28.48957389,0.037960703,10.37365825,0.080140974,2.100512853,1.098117495,3.648970119,2.05773136,4.450002684,0.850515464,0.386266622,0.460419397,0.38713724,0.048885072,0.041104332,49.074585
61.48569035,0.514398,17.42901459,6.268615423,0.121034824,2.854404588,6.303897058,3.298198941,1.56336647,0.161379765,12.193,23.44733333,2.947333333,12.14666667,2.646,0.768,2.392,0.318333333,2.130666667,0.452333333,1.21,0.187,1.255333333,0.179666667,754,12.13,27.86333333,704.506,2.070666667,2.264,0.163666667,4.452666667,1.985333333,8.656333333,72.76033333,19.38333333,196.6626667,7.364333333,17.659,10.36866667,4.861565411,62.15993405,6.563524785,18.67817313,5.998378675,4.60808768,1.697291557,2.107806692,27.49823633,0.036954023,9.676048863,0.086767547,1.933003572,1.001374004,3.54699947,1.905469995,3.582306759,0.7712,0.367078868,0.534926913,0.379931212,0.052723106,0.037446524,49.06460799
